date,device,visits
2016-09-08,desktop,36557
2016-09-08,mobile,9176
2016-09-08,tablet,1276
2016-09-09,desktop,33658
2016-09-09,mobile,9504
2016-09-09,tablet,1320
2016-09-10,desktop,11474
2016-09-10,mobile,6822
2016-09-10,tablet,1153
2016-09-11,desktop,13057
2016-09-11,mobile,6257
2016-09-11,tablet,1217
2016-09-12,desktop,39520
2016-09-12,mobile,8835
2016-09-12,tablet,1299
2016-09-13,desktop,38111
2016-09-13,mobile,8737
2016-09-13,tablet,1351
2016-09-14,desktop,36844
2016-09-14,mobile,8750
2016-09-14,tablet,1337
2016-09-15,desktop,35245
2016-09-15,mobile,8646
2016-09-15,tablet,1292
2016-09-16,desktop,31261
2016-09-16,mobile,7611
2016-09-16,tablet,1171
2016-09-17,desktop,12046
2016-09-17,mobile,7583
2016-09-17,tablet,1295
2016-09-18,desktop,13758
2016-09-18,mobile,7544
2016-09-18,tablet,1368
2016-09-19,desktop,41690
2016-09-19,mobile,10881
2016-09-19,tablet,1527
2016-09-20,desktop,39284
2016-09-20,mobile,9515
2016-09-20,tablet,1405
2016-09-21,desktop,36371
2016-09-21,mobile,9103
2016-09-21,tablet,1282
2016-09-22,desktop,38043
2016-09-22,mobile,9752
2016-09-22,tablet,1424
2016-09-23,desktop,33067
2016-09-23,mobile,9312
2016-09-23,tablet,1267
2016-09-24,desktop,11512
2016-09-24,mobile,6914
2016-09-24,tablet,1083
2016-09-25,desktop,12173
2016-09-25,mobile,6099
2016-09-25,tablet,1189
2016-09-26,desktop,39319
2016-09-26,mobile,9910
2016-09-26,tablet,1338
2016-09-27,desktop,37953
2016-09-27,mobile,9378
2016-09-27,tablet,1371
2016-09-28,desktop,36994
2016-09-28,mobile,9154
2016-09-28,tablet,1354
2016-09-29,desktop,35972
2016-09-29,mobile,8614
2016-09-29,tablet,1290
2016-09-30,desktop,31929
2016-09-30,mobile,7928
2016-09-30,tablet,1176
2016-10-01,desktop,11791
2016-10-01,mobile,7252
2016-10-01,tablet,1311
2016-10-02,desktop,13975
2016-10-02,mobile,8085
2016-10-02,tablet,1379
2016-10-03,desktop,41668
2016-10-03,mobile,9785
2016-10-03,tablet,1499
2016-10-04,desktop,42582
2016-10-04,mobile,10749
2016-10-04,tablet,1511
2016-10-05,desktop,38352
2016-10-05,mobile,9669
2016-10-05,tablet,1370
2016-10-06,desktop,38290
2016-10-06,mobile,11787
2016-10-06,tablet,1525
2016-10-07,desktop,33622
2016-10-07,mobile,9511
2016-10-07,tablet,1262
2016-10-08,desktop,11679
2016-10-08,mobile,6777
2016-10-08,tablet,1176
2016-10-09,desktop,12703
2016-10-09,mobile,6860
2016-10-09,tablet,1175
2016-10-10,desktop,26908
2016-10-10,mobile,8347
2016-10-10,tablet,1330
2016-10-11,desktop,39518
2016-10-11,mobile,9548
2016-10-11,tablet,1340
2016-10-12,desktop,40955
2016-10-12,mobile,11617
2016-10-12,tablet,1709
2016-10-13,desktop,38448
2016-10-13,mobile,9573
2016-10-13,tablet,1420
2016-10-14,desktop,35691
2016-10-14,mobile,8700
2016-10-14,tablet,1332
2016-10-15,desktop,14205
2016-10-15,mobile,10892
2016-10-15,tablet,1671
2016-10-16,desktop,17579
2016-10-16,mobile,12345
2016-10-16,tablet,1984
2016-10-17,desktop,46758
2016-10-17,mobile,11064
2016-10-17,tablet,1635
2016-10-18,desktop,43133
2016-10-18,mobile,10541
2016-10-18,tablet,1540
2016-10-19,desktop,39041
2016-10-19,mobile,9317
2016-10-19,tablet,1293
2016-10-20,desktop,39576
2016-10-20,mobile,9273
2016-10-20,tablet,1398
2016-10-21,desktop,37711
2016-10-21,mobile,8666
2016-10-21,tablet,1246
2016-10-22,desktop,12056
2016-10-22,mobile,6909
2016-10-22,tablet,1136
2016-10-23,desktop,14673
2016-10-23,mobile,6796
2016-10-23,tablet,1391
2016-10-24,desktop,45745
2016-10-24,mobile,10056
2016-10-24,tablet,1579
2016-10-25,desktop,42234
2016-10-25,mobile,10785
2016-10-25,tablet,1587
2016-10-26,desktop,39824
2016-10-26,mobile,10119
2016-10-26,tablet,1374
2016-10-27,desktop,39012
2016-10-27,mobile,9354
2016-10-27,tablet,1386
2016-10-28,desktop,35192
2016-10-28,mobile,8681
2016-10-28,tablet,1304
2016-10-29,desktop,12992
2016-10-29,mobile,8426
2016-10-29,tablet,1342
2016-10-30,desktop,16178
2016-10-30,mobile,8880
2016-10-30,tablet,1683
2016-10-31,desktop,41519
2016-10-31,mobile,9860
2016-10-31,tablet,1459
2016-11-01,desktop,42620
2016-11-01,mobile,10671
2016-11-01,tablet,1544
2016-11-02,desktop,40320
2016-11-02,mobile,11120
2016-11-02,tablet,1593
2016-11-03,desktop,38906
2016-11-03,mobile,10029
2016-11-03,tablet,1399
