page_title,event_label,page,total_events
Forms - Marriage License | Office of the County Clerk,/countyclerk/ftp/uploadedfiles/countyclerk/Forms/MLPA.pdf,sfgov.org/countyclerk/forms-marriage-license,205
Forms - Birth & Death Certificates | Office of the County Clerk,/countyclerk/sites/default/files/Documents/ACCBC.pdf,sfgov.org/countyclerk/forms-birth-death-certificates,194
"General Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/BMR%20Rental%20Applications/General%20BMR%20Rental%20Application/Universal%20Rent%20ShortForm%20PaperApp%20v9%20-%20English.pdf,sfmohcd.org/general-bmr-rental-application,192
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7251_M00124_mon.pdf,sfdhr.org/eligible-list-postings,192
"Affordable Housing Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/Universal%20Rent%20ShortForm%20PaperApp%20v8%20-%20English.pdf,sfmohcd.org/AFFordable-rental-application,191
School District Bond.pdf | Department of Elections,/elections/sites/default/files/Documents/candidates/201607111348.pdf,sfgov.org/elections/file/4171,190
Legalize Your Illegal Units Today | Department of Building Inspection,/sites/default/files/Unit%20Legalization%20Flowchart%20Vizio%20Land%2006-15-15.pdf,sfdbi.org/UnitLegalization,188
Benefits Overview | Department of Human Resources,/sites/default/files/documents/Classification%20and%20Compensation/Health%20Benefit%20Eligibility.pdf,sfdhr.org/benefits-overview,178
2016 Gross Receipts Tax Worksheet.pdf | Treasurer & Tax Collector,/sites/default/files/2016%20Gross%20Receipts%20Tax%20Worksheet%20Revised%204.8.16.pdf,sftreasurer.org/file/1107,176
Memoranda of Understandings & Labor Agreements | Department of Human Resources,/sites/default/files/documents/Employees/Employee%20Relations%20and%20MOUs/Local%2021%202014%20Final%20MOU%20with%20Amendment%201.pdf,sfdhr.org/memoranda-understanding,173
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/9774_070129_wed.pdf,sfdhr.org/eligible-list-postings,172
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_066073_fri.pdf,sfdhr.org/eligible-list-postings,170
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7251_M00123_mon.pdf,sfdhr.org/eligible-list-postings,167
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_066073_fri.pdf,sfdhr.org/past-eligible-list-posting,165
"280 Brigthon Avenue BMR Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/BMR%20Rental%20Applications/Brighton%20BMR%20Rental%20Applications/Universal%20Rent%20ShortForm%20PaperApp%20v9%20-%20English%20for%20Brighton.pdf,sfmohcd.org/280-brigthon-avenue-bmr-rental-application,160
"Topic No. 051: This Year's Annual Allowable Increase | Rent Board",/sites/default/files/Document/Form/571%20Allowable%20Annual%20Increases%2016-17%20FINAL_0.pdf,sfrb.org/topic-no-051-years-annual-allowable-increase,159
2016FBNS.pdf | Office of the County Clerk,/countyclerk/sites/default/files/2016FBNS.pdf,sfgov.org/countyclerk/file/751,156
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/1053_069764_tues.pdf,sfdhr.org/eligible-list-postings,156
"Affordable Housing Rental Application | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/Universal%20Rent%20ShortForm%20PaperApp%20v8%20-%20English.pdf,sfmohcd.org/affordable-rental-application,155
Police District Maps | Police Department,/sites/default/files/Citywide_District_Map.pdf,sanfranciscopolice.org/police-district-maps,154
Contact Us | Department of Building Inspection,/sites/default/files/DBI%20Phone%20Directory.pdf,sfdbi.org/contact-us,152
District 8 | Board of Supervisors,/sites/default/files/wiener.jpg,sfbos.org/supervisor-wiener-district-8,150
Rent Board,/sites/default/files/Document/Form/571%20Allowable%20Annual%20Increases%2016-17%20FINAL_0.pdf,sfrb.org/,145
Minimum Wage Ordinance (MWO) | Office of Labor Standards Enforcement,/olse/sites/default/files/Document/69_MinWageOrdinancePoster_0616v4.pdf,sfgov.org/olse/minimum-wage-ordinance-mwo,144
Building Inspection Division | Department of Building Inspection,/sites/default/files/BID%20Org%20Chart.pdf,sfdbi.org/building-inspection-division-0,143
"Affordable Senior Rentals: Willie B. Kennedy | Mayor's Office of Housing and Community Development",/sites/default/files/Copy%20of%20Willie%20B.%20Kennedy%20-%20Lottery%20Results%2010.12.2016.pdf,sfmohcd.org/AFFORDABLE-SENIOR-RENTALS-WILLIE-B-KENNEDY,139
Controller Statement Prop A - School Bonds.pdf | Department of Elections,/elections/sites/default/files/Documents/candidates/Nov%202016%20Prop%20A%20-%20School%20Bonds.pdf,sfgov.org/elections/file/7384,139
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D7_8-12.pdf,sfgov.org/elections/district-citywide-maps,139
Vote by Mail | Department of Elections,/elections/sites/default/files/Documents/Voting/2016/N16_VBMApp_ENCH.pdf,sfgov.org/elections/vote-mail,137
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/2320_900390_tues_0.pdf,sfdhr.org/eligible-list-postings,137
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/Q002_060667_fri.pdf,sfdhr.org/past-eligible-list-posting,133
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/1051_066729_thurs.pdf,sfdhr.org/eligible-list-postings,131
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D5_8-12.pdf,sfgov.org/elections/district-citywide-maps,130
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7249_067466_fri.pdf,sfdhr.org/eligible-list-postings,129
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/Q002_060667_fri.pdf,sfdhr.org/eligible-list-postings,128
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D6_8-12.pdf,sfgov.org/elections/district-citywide-maps,125
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D8_8-12.pdf,sfgov.org/elections/district-citywide-maps,124
District 6 | Board of Supervisors,/sites/default/files/kim.jpg,sfbos.org/supervisor-kim-district-6,120
Plumbing Inspection Division | Department of Building Inspection,/sites/default/files/PID%20Org%20Chart.pdf,sfdbi.org/plumbinginspection,120
District 5 | Board of Supervisors,/sites/default/files/breed.jpg,sfbos.org/supervisor-breed-district-5,119
District 3 | Board of Supervisors,/sites/default/files/peskin.jpg,sfbos.org/supervisor-peskin,118
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/9506_M00140_thurs.pdf,sfdhr.org/past-eligible-list-posting,118
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/5601_901137_mon.pdf,sfdhr.org/eligible-list-postings?page=17,118
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D1_8-12.pdf,sfgov.org/elections/district-citywide-maps,116
Poll Worker Resources | Department of Elections,/elections/sites/default/files/Documents/GetInvolved/2016N_PW_Manual.pdf,sfgov.org/elections/poll-worker-resources,115
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D9_8-12.pdf,sfgov.org/elections/district-citywide-maps,114
Vote by Mail | Department of Elections,/elections/sites/default/files/Documents/Voting/2016/PermVBMApp_ENCH.pdf,sfgov.org/elections/vote-mail,114
District 7 | Board of Supervisors,/sites/default/files/yee.jpg,sfbos.org/supervisor-yee-district-7,112
Benefits Overview | Department of Human Resources,/sites/default/files/FileCenter/Documents/14453-Final%20Employee%20Handbook%20January%202012.pdf,sfdhr.org/benefits-overview,106
Events | Board of Supervisors,/event/2016/bf110216_agenda.pdf,sfbos.org/events/calendar/upcoming,106
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7208_069427_fri.pdf,sfdhr.org/past-eligible-list-posting,104
Expanded Over-The-Counter Services | Department of Building Inspection,/sites/default/files/Permit%20Process%20Without%20Plans.pdf,sfdbi.org/expanded-over-counter-services,103
Citywide CBT Exam Plan | Department of Human Resources,/sites/default/files/documents/HR%20Professionals/Citywide%20CBT%20Exam%20Plan/Citywide%20Classification-Based%20Exam%20Plan%20-%20FY%202016-2017%20-%20Sorted%20by%20Class%20and%20Title%20-%20Revised%2010-25-16.pdf,sfdhr.org/citywide-cbt-exam-plan,101
District & Citywide Maps | Department of Elections,/elections/sites/default/files/2012lines.zip,sfgov.org/elections/district-citywide-maps,101
"Service and Support Animals | Mayor's Office on Disability",/mod/sites/default/files/Service%20animal%20client%20bulletin%20final%20-%20English%202016.pdf,sfgov.org/mod/service-and-support-animals-1,101
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0931_067414_wed_0.pdf,sfdhr.org/eligible-list-postings,101
"Affordable Rentals: 1009 Howard Street (Bill Sorro Community) | Mayor's Office of Housing and Community Development",/sites/default/files/Bill%20Sorro%20Housing%20Application.pdf,sfmohcd.org/affordable-rentals-1009-Howard-street-bill-sorro-community,98
CCSF ePayroll – Online Paystubs | Office of the Controller,/sites/default/files/Documents/payroll/EmploymentTaxWage2016.pdf,sfcontroller.org/CCSF-EPAYROLL-–-online-paystubs,97
Memoranda of Understandings & Labor Agreements | Department of Human Resources,/sites/default/files/documents/Employees/Employee%20Relations%20and%20MOUs/SEIU%20Local%201021%20Staff%20and%20Per%20Diem%20Nurses%20FINAL%20MOU%20%282016-2017%29.pdf,sfdhr.org/memoranda-understanding,97
Benefits Overview | Department of Human Resources,/sites/default/files/documents/Classification%20and%20Compensation/Add.%20Employee%20Pension%20Contrib.%20Per%20Prop.%20C.pdf,sfdhr.org/benefits-overview,94
"2016_AMI_RentLimits-SanFranHMFA_ForMOHsf.pdf | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/2016_AMI_RentLimits-SanFranHMFA_ForMOHsf.pdf,sfmohcd.org/file/1291,93
District 10 | Board of Supervisors,/sites/default/files/cohen.jpg,sfbos.org/supervisor-cohen-district-10,93
Nov 2016_Local Candidate Guide.pdf | Department of Elections,/elections/sites/default/files/Documents/candidates/Nov%202016_Local%20Candidate%20Guide.pdf,sfgov.org/elections/file/2171,93
"Current Below Market Rental (BMR) Listings | Mayor's Office of Housing and Community Development",/sites/default/files/Documents/MOH/Lottery%20Results/Posting%20200%20Buchanan%20-%20Alchemy%208-31-2016.pdf,sfmohcd.org/current-below-market-rental-bmr-listings,92
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D4_8-12.pdf,sfgov.org/elections/district-citywide-maps,92
14 - Legal text - Prohibiting Tents on Public Sidewalks.pdf | Department of Elections,/elections/sites/default/files/Documents/BSC/2016%20Nov/14%20-%20Legal%20text%20-%20Prohibiting%20Tents%20on%20Public%20Sidewalks.pdf,sfgov.org/elections/file/5791,91
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/1044_APPENG_mon.pdf,sfdhr.org/past-eligible-list-posting,91
District & Citywide Maps | Department of Elections,/elections/sites/default/files/D2_8-12.pdf,sfgov.org/elections/district-citywide-maps,90
Vote by Mail | Department of Elections,/elections/sites/default/files/Documents/VoterEducation/VBM_ReturnEnv_2016.pdf,sfgov.org/elections/vote-mail,90
Benefits Overview | Department of Human Resources,/sites/default/files/FileCenter/Documents/15654-Retiree%20Health%20Care%20Flow%20Charts%20and%20FAQs.pdf,sfdhr.org/benefits-overview,89
Department of Elections,/elections/sites/default/files/Documents/ElectionsArchives/2016/Nov/2016N_VIP_EN.pdf,sfgov.org/elections/department-elections,89
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0932_069608_mon.pdf,sfdhr.org/past-eligible-list-posting,89
Past Eligible List Postings | Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/0931_067414_wed_0.pdf,sfdhr.org/past-eligible-list-posting,88
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/7208_069427_fri.pdf,sfdhr.org/eligible-list-postings,87
District 9 | Board of Supervisors,/sites/default/files/campos.jpg,sfbos.org/supervisor-campos-district-9,86
"Application for Inclusionary Housing Program BMR Ownership Units | Mayor's Office of Housing and Community Development",/sites/default/files/BMR%20Ownership%20Application%20Form%20072816.pdf,sfmohcd.org/APPLICATION-INCLUSIONARY-HOUSING-PROGRAM-BMR-OWNERSHIP-UNITS,85
Expanded Over-The-Counter Services | Department of Building Inspection,/sites/default/files/Permit%20Process%20With%20Plans.pdf,sfdbi.org/expanded-over-counter-services,84
Vendor Application Packet.pdf | Office of Contract Administration,/oca/sites/default/files/Vendor%20Application%20Packet_0.pdf,sfgov.org/oca/file/167,84
| Department of Human Resources,/sites/default/files/documents/Eligible%20Lists/2016/1070_070477_wed.pdf,sfdhr.org/eligible-list-postings,84
Benefits Overview | Department of Human Resources,/sites/default/files/documents/Classification%20and%20Compensation/Sick%20Leave%20Pay.pdf,sfdhr.org/benefits-overview,83
